Timestamp,Pod,Memory_Mi,Memory_Limit_Mi,CPU_m,Memory_Percent
1759333058,schema-registry-7996d6869-2bhff,288,512,10,56
1759333068,kafka-0,454,682,20,66
1759333068,kafka-1,443,682,18,64
1759333068,kafka-2,436,682,31,63
1759333068,kafka-connect-5487669d97-jc87c,707,1024,45,69
1759333068,postgresql-0,378,512,11,73
1759333068,schema-registry-7996d6869-2bhff,288,512,10,56
1759333078,kafka-0,454,682,22,66
1759333078,kafka-1,443,682,18,64
1759333078,kafka-2,438,682,26,64
1759333078,kafka-connect-5487669d97-jc87c,707,1024,44,69
1759333078,postgresql-0,378,512,11,73
1759333078,schema-registry-7996d6869-2bhff,288,512,9,56
1759333088,kafka-0,454,682,22,66
1759333088,kafka-1,443,682,18,64
1759333088,kafka-2,438,682,26,64
1759333088,kafka-connect-5487669d97-jc87c,707,1024,43,69
1759333088,postgresql-0,378,512,13,73
1759333088,schema-registry-7996d6869-2bhff,288,512,9,56
1759333098,kafka-0,454,682,22,66
1759333098,kafka-1,443,682,24,64
1759333098,kafka-2,438,682,26,64
1759333098,kafka-connect-5487669d97-jc87c,707,1024,45,69
1759333098,postgresql-0,378,512,13,73
1759333098,schema-registry-7996d6869-2bhff,288,512,7,56
