NAME                               READY   STATUS      RESTARTS   AGE
create-cdc-topics-dhtvm            0/1     Completed   0          14m
kafka-0                            1/1     Running     0          15m
kafka-1                            1/1     Running     0          15m
kafka-2                            1/1     Running     0          15m
kafka-connect-7c45ccc44-v4n5q      1/1     Running     0          11m
kafka-connect-topics-setup-7r666   0/1     Completed   0          12m
postgresql-0                       1/1     Running     0          16m
schema-registry-7996d6869-wztdh    1/1     Running     0          14m
