NAME                               READY   STATUS      RESTARTS   AGE
create-cdc-topics-s2x52            0/1     Completed   0          7m8s
kafka-0                            1/1     Running     0          8m19s
kafka-1                            1/1     Running     0          8m19s
kafka-2                            1/1     Running     0          8m19s
kafka-connect-6bcdf9674-l5knd      1/1     Running     0          4m17s
kafka-connect-topics-setup-l9bqs   0/1     Completed   0          4m47s
postgresql-0                       1/1     Running     0          8m56s
schema-registry-7996d6869-6whh7    1/1     Running     0          6m39s
