NAME                               READY   STATUS      RESTARTS   AGE
create-cdc-topics-dhtvm            0/1     Completed   0          7m23s
kafka-0                            1/1     Running     0          8m34s
kafka-1                            1/1     Running     0          8m34s
kafka-2                            1/1     Running     0          8m34s
kafka-connect-7c45ccc44-v4n5q      1/1     Running     0          4m30s
kafka-connect-topics-setup-7r666   0/1     Completed   0          5m1s
postgresql-0                       1/1     Running     0          9m11s
schema-registry-7996d6869-wztdh    1/1     Running     0          6m53s
