NAME                               READY   STATUS      RESTARTS   AGE
create-cdc-topics-dhtvm            0/1     Completed   0          13m
kafka-0                            1/1     Running     0          14m
kafka-1                            1/1     Running     0          14m
kafka-2                            1/1     Running     0          14m
kafka-connect-7c45ccc44-v4n5q      1/1     Running     0          10m
kafka-connect-topics-setup-7r666   0/1     Completed   0          10m
postgresql-0                       1/1     Running     0          14m
schema-registry-7996d6869-wztdh    1/1     Running     0          12m
