NAME                               READY   STATUS      RESTARTS   AGE
create-cdc-topics-8w9fc            0/1     Completed   0          10m
kafka-0                            1/1     Running     0          11m
kafka-1                            1/1     Running     0          11m
kafka-2                            1/1     Running     0          11m
kafka-connect-7c45ccc44-rwcjc      1/1     Running     0          8m3s
kafka-connect-topics-setup-xdbpv   0/1     Completed   0          8m32s
postgresql-0                       1/1     Running     0          12m
schema-registry-7996d6869-g8h4x    1/1     Running     0          10m
