Timestamp,Pod,Memory_Mi,Memory_Limit_Mi,CPU_m,Memory_Percent
1759864426,kafka-0,552,682,20,80
1759864426,kafka-1,592,682,20,86
1759864426,kafka-2,581,682,24,85
1759864426,kafka-connect-6697c8dd97-msk84,1812,2048,31,88
1759864426,postgresql-0,682,1024,16,66
1759864426,schema-registry-696f9b74b5-vq76n,299,1024,9,29
1759864436,kafka-0,552,682,18,80
1759864436,kafka-1,592,682,19,86
1759864436,kafka-2,581,682,24,85
1759864436,kafka-connect-6697c8dd97-msk84,1812,2048,29,88
1759864436,postgresql-0,682,1024,16,66
1759864436,schema-registry-696f9b74b5-vq76n,299,1024,9,29
1759864447,kafka-0,552,682,18,80
1759864447,kafka-1,592,682,19,86
1759864447,kafka-2,581,682,24,85
1759864447,kafka-connect-6697c8dd97-msk84,1812,2048,29,88
1759864447,postgresql-0,682,1024,16,66
1759864447,schema-registry-696f9b74b5-vq76n,299,1024,9,29
1759864457,kafka-0,552,682,19,80
1759864457,kafka-1,592,682,20,86
1759864457,kafka-2,581,682,24,85
1759864457,kafka-connect-6697c8dd97-msk84,1812,2048,29,88
1759864457,postgresql-0,683,1024,14,66
1759864457,schema-registry-696f9b74b5-vq76n,299,1024,7,29
